station_public_id,province,inventory_l,price_krw_per_l,latitude,longitude,stock_status_color,observed_at,regional_demand_base_l,station_inventory_score,station_price_pressure_score,station_supply_priority_score,station_priority_rank,municipality_supply_availability_score,final_priority_score,final_priority_rank
STN-104,Gyeonggi-do,2000,2000,37.3959413,127.2372829,GREEN,2021-12-28 11:30:03,96533521.76011252,0.2134831460674157,0.7134831460674157,54.78932584269664,112,0.5614627176163034,35.52332970351087,104
STN-105,Incheon,2000,972,37.6097601,126.6438268,YELLOW,2021-12-28 11:19:25,20757939.40511667,0.6348314606741573,0.7134831460674157,61.57303370786517,82,0.5944993376057989,35.464475791711955,105
STN-106,Gyeonggi-do,1300,1800,36.9778962,126.8433576,GREEN,2021-12-28 13:41:58,96533521.76011252,0.2415730337078652,0.0926966292134831,46.17977528089889,149,0.588726970117594,34.79255789630369,106
STN-107,Gyeonggi-do,1300,1900,36.9427559,126.9141712,GREEN,2021-12-28 10:31:18,96533521.76011252,0.2303370786516854,0.0926966292134831,45.89887640449439,150,0.588726970117594,34.79255789630369,107
STN-108,Incheon,2000,928,37.3964804,126.7155421,YELLOW,2021-12-28 09:10:21,20757939.40511667,0.6573033707865168,0.7134831460674157,62.13483146067415,80,0.5778822317269574,34.58716101632685,108
STN-109,Gyeonggi-do,1500,1260,37.7878356,126.6880087,GREEN,2021-12-28 11:04:06,96533521.76011252,0.4719101123595506,0.2808988764044944,64.7612359550562,77,0.6743431513596828,34.36415669241399,109
STN-110,Gyeonggi-do,1800,1557,37.411052,127.20162,GREEN,2021-12-28 10:09:20,96533521.76011252,0.297752808988764,0.4578651685393258,53.06179775280899,119,0.5614627176163034,34.023329703510875,110
STN-111,Gyeonggi-do,1800,2010,37.4072057,127.2272459,GREEN,2021-12-28 14:06:45,96533521.76011252,0.202247191011236,0.4578651685393258,50.6741573033708,134,0.5614627176163034,34.023329703510875,111
STN-112,Gyeonggi-do,1500,700,37.9039754,127.2108381,YELLOW,2021-12-28 07:40:18,96533521.76011252,0.7612359550561798,0.2808988764044944,71.99438202247192,55,0.436887371514083,32.860563267017525,112
STN-113,Incheon,1500,891,37.4482995,126.7272543,YELLOW,2021-12-28 14:48:08,20757939.40511667,0.6741573033707865,0.2808988764044944,56.06741573033708,107,0.5778822317269574,32.132161016326855,113
STN-114,Incheon,2000,1180,37.3956621,126.7139047,GREEN,2021-12-28 10:20:06,20757939.40511667,0.5112359550561798,0.7134831460674157,58.48314606741573,95,0.5778822317269574,32.06716101632686,114
